anchor,positive,negative
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0044/EdMNyoyrPto.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0060/KM-dBNxCRo4.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0151/q1Y95Cfjgoo.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0149/pDTcR37USQo.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0123/g7UdLQHH4ns.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0007/1Nd_aEnNTbE.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0026/871zOgZustI.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0096/XD4X0_ZVz9E.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0012/3CyuO7xN4DY.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0140/mHteSZqWCz4.mp4
core/3ei-VfSpxvA.mp4,core/zzNluWnwryA.mp4,distraction/0083/SYfZmxXDRkU.mp4
core/3ei-VfSpxvA.mp4,core/zzNluWnwryA.mp4,distraction/0138/lOkg3UxQl2w.mp4
core/3ei-VfSpxvA.mp4,core/zzNluWnwryA.mp4,distraction/0025/7mGXxsUx2g8.mp4
core/3ei-VfSpxvA.mp4,core/zzNluWnwryA.mp4,distraction/0132/j5TKPDgUKmA.mp4
core/3ei-VfSpxvA.mp4,core/zzNluWnwryA.mp4,distraction/0109/arQO2pApcFI.mp4
core/3ei-VfSpxvA.mp4,core/zzNluWnwryA.mp4,distraction/0119/eTN2MeNn_9A.mp4
core/3ei-VfSpxvA.mp4,core/zzNluWnwryA.mp4,distraction/0055/IjSMHv6qXF0.mp4
core/3ei-VfSpxvA.mp4,core/zzNluWnwryA.mp4,distraction/0008/1tMRjclYAxA.mp4
core/3ei-VfSpxvA.mp4,core/zzNluWnwryA.mp4,distraction/0074/PWSnwIn8AIk.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0034/B4XHo6hT-fs.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0077/QP2AH6zTMZw.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0104/_GPz1xB8SSE.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0099/YUNoLQFbEW8.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0043/EGsiu7mKmyo.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0032/AKsOe-8-_cw.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0018/58WG2VV4Fxo.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0172/x_1o7yPOtPQ.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0031/9uayAc2CITs.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0063/LJerRjfqKrE.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0008/1ay_d2FWGhg.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0122/fhUIfGbY37I.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0039/CgcnWcjKfNA.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0040/DF1Q3ksRAPI.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0005/0b34HgmyV8M.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0131/izfSYdAfUIk.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0129/iAmGaCmt-3U.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0010/2YhdfGWahbM.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0023/6xnUEb_JTos.mp4
core/_l6Et4VdPOA.mp4,core/-10vNSC0iKM.mp4,distraction/0019/5_4UGhkC1zA.mp4
core/-F1MReluK_Y.mp4,core/--YKaDKPsTI.mp4,distraction/0065/M6A5Qf2Z69Y.mp4
