anchor,positive,negative
core/5MBA_7vDhII.mp4,core/zzcV9Ccdk2s.mp4,distraction/0129/i2yAKwn4wBk.mp4
core/5MBA_7vDhII.mp4,core/zzcV9Ccdk2s.mp4,distraction/0016/4_2AguVRBCw.mp4
core/5MBA_7vDhII.mp4,core/zzcV9Ccdk2s.mp4,distraction/0124/gHMHK5Qmdj8.mp4
core/5MBA_7vDhII.mp4,core/zzcV9Ccdk2s.mp4,distraction/0162/uAdsiFMTMG8.mp4
core/5MBA_7vDhII.mp4,core/zzcV9Ccdk2s.mp4,distraction/0098/Y0vU0HjUhNg.mp4
core/5MBA_7vDhII.mp4,core/zzcV9Ccdk2s.mp4,distraction/0140/m2U6ObrMJyU.mp4
core/5MBA_7vDhII.mp4,core/zzcV9Ccdk2s.mp4,distraction/0033/AZIRzmoaspI.mp4
core/5MBA_7vDhII.mp4,core/zzcV9Ccdk2s.mp4,distraction/0126/grG0H8WiFmo.mp4
core/5MBA_7vDhII.mp4,core/zzcV9Ccdk2s.mp4,distraction/0160/tU5b1Y_MOe8.mp4
core/5MBA_7vDhII.mp4,core/zzcV9Ccdk2s.mp4,distraction/0083/SinltMUVF9A.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0044/EdMNyoyrPto.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0060/KM-dBNxCRo4.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0151/q1Y95Cfjgoo.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0149/pDTcR37USQo.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0123/g7UdLQHH4ns.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0007/1Nd_aEnNTbE.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0026/871zOgZustI.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0096/XD4X0_ZVz9E.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0012/3CyuO7xN4DY.mp4
core/zzcV9Ccdk2s.mp4,core/5MBA_7vDhII.mp4,distraction/0140/mHteSZqWCz4.mp4
core/3ei-VfSpxvA.mp4,core/zzNluWnwryA.mp4,distraction/0079/RE7O0kB3uH0.mp4
core/3ei-VfSpxvA.mp4,core/zzNluWnwryA.mp4,distraction/0110/bBshKp5k9VA.mp4
core/3ei-VfSpxvA.mp4,core/zzNluWnwryA.mp4,distraction/0152/qMZuiFYqhH4.mp4
core/3ei-VfSpxvA.mp4,core/zzNluWnwryA.mp4,distraction/0064/Lp_aPZToy2g.mp4
